# assay diff — qwen3-8b
# old: docs/superpowers/evidence/tier-enthusiast/qwen3-8b.json
#      (provenance.started 2026-08-15T01:41:44Z, quick mode, schema v4, probe 0.5.0, fixtures codec-fixtures-v2, seeds (0,))
# new: docs/superpowers/evidence/tier-enthusiast-2026-08/qwen3-8b.json
#      (provenance.started 2026-08-17T13:52:37Z, full mode, schema v8, probe 0.9.0, fixtures codec-fixtures-v3, seeds (0, 1))
# cmd: assay diff <old> <new>
# exit: 1   (diff taxonomy: 0 clean, 1 drift, 2 not comparable, 4 unreadable)
# read this beside README.md in this directory — the confounds are named there,
# and geometry is NOT a family this command compares.
#
ceiling.max_verified: 16384 -> 32768 (improvement, rung-change)
verdict.loop_discipline: unusable -> risky (improvement, flip)
verdict.patch_editing: risky -> ready (improvement, flip)
verdict.structured_extraction: unusable -> ready (improvement, flip)
codec.json_object.tiny.lands: 0.0 -> 1.0 (improvement, disjoint-intervals)
codec.json_object.small.lands: 0.0 -> 1.0 (improvement, disjoint-intervals)
codec.json_object.medium.lands: 0.0 -> 1.0 (improvement, disjoint-intervals)
codec.search_replace.tiny.lands: 0.0 -> 0.7714285714285715 (improvement, disjoint-intervals)
codec.search_replace.tiny.lands_applies: 0.0 -> 1.0 (improvement, disjoint-intervals)
codec.search_replace.small.lands: 0.0 -> 0.6 (improvement, disjoint-intervals)
codec.search_replace.small.lands_applies: 0.0 -> 0.8 (improvement, disjoint-intervals)
codec.whole_file.small.lands_applies: 0.6 -> 1.0 (improvement, disjoint-intervals)
within noise: ceiling.failure_mode, ceiling_shapes.shape:2048, ceiling_shapes.shape:2048.failure_mode, ceiling_shapes.shape:4096, ceiling_shapes.shape:4096.failure_mode, ceiling_shapes.shape:8192, ceiling_shapes.shape:8192.failure_mode, verdict.agent_speed, verdict.chat_speed, verdict.long_context, codec.search_replace.medium.lands, codec.search_replace.medium.lands_applies, codec.whole_file.tiny.lands, codec.whole_file.tiny.lands_applies, codec.whole_file.small.lands, codec.whole_file.medium.lands, codec.whole_file.medium.lands_applies, speed.decode_tps, speed.prefill_tps
dropped: verdict.long_output, verdict.tool_calling, codec.json_object.constrained.lands, codec.json_object.nested.lands, codec.json_object.tabular.lands
